older-brother,spouse,father	ob,w,f	兄弟眷父
mother,father,older-brother,son,spouse,father	m,f,ob,s,w,f	从父舅眷外祖父
mother,father,older-brother,son,spouse,mother	m,f,ob,s,w,m	从父舅眷外祖母
mother,father,older-brother,son,spouse,father,father	m,f,ob,s,w,f,f	
mother,father,older-brother,son,spouse,father,mother	m,f,ob,s,w,f,m	
mother,father,older-brother,son,spouse,mother,father	m,f,ob,s,w,m,f	
mother,father,older-brother,son,spouse,mother,mother	m,f,ob,s,w,m,m	
mother,father,older-brother,son,spouse,older-brother	m,f,ob,s,w,ob	从父舅眷舅父
mother,father,older-brother,son,spouse,younger-sister	m,f,ob,s,w,ls	从父舅眷姨母
mother,father,older-brother,son,spouse,older-brother,son	m,f,ob,s,w,ob,s	从父舅眷舅表兄|从父舅眷舅表弟
mother,father,older-brother,son,spouse,younger-brother,daughter	m,f,ob,s,w,lb,d	从父舅眷舅表姊|从父舅眷舅表妹
mother,father,older-brother,son,spouse,older-sister,daughter	m,f,ob,s,w,os,d	从父舅眷姨表姊|从父舅眷姨表妹
mother,father,older-brother,son,spouse,father,father,father	m,f,ob,s,w,f,f,f	
father,younger-brother,son,son,spouse,father	f,lb,s,s,w,f	堂侄眷兄弟
father,younger-brother,son,son,spouse,mother	f,lb,s,s,w,m	堂侄眷姊妹
father,younger-brother,son,son,spouse,father,father	f,lb,s,s,w,f,f	堂侄眷父
father,younger-brother,son,son,spouse,father,mother	f,lb,s,s,w,f,m	堂侄眷母
father,younger-brother,son,son,spouse,mother,father	f,lb,s,s,w,m,f	堂侄眷父
father,younger-brother,son,son,spouse,mother,mother	f,lb,s,s,w,m,m	堂侄眷母
father,younger-brother,son,son,spouse,older-brother	f,lb,s,s,w,ob	堂侄眷男
father,younger-brother,son,son,spouse,younger-sister	f,lb,s,s,w,ls	堂侄眷女
father,younger-brother,son,son,spouse,older-brother,son	f,lb,s,s,w,ob,s	堂侄眷孙男
father,younger-brother,son,son,spouse,younger-brother,daughter	f,lb,s,s,w,lb,d	堂侄眷孙女
father,younger-brother,son,son,spouse,older-sister,daughter	f,lb,s,s,w,os,d	堂侄眷外孙女
father,younger-brother,son,son,spouse,father,father,father	f,lb,s,s,w,f,f,f	堂侄眷祖父
older-brother,son,son,spouse,father	ob,s,s,w,f	侄孙眷男
older-brother,son,son,spouse,mother	ob,s,s,w,m	侄孙眷女
older-brother,son,son,spouse,father,father	ob,s,s,w,f,f	
older-brother,son,son,spouse,father,mother	ob,s,s,w,f,m	
older-brother,son,son,spouse,mother,father	ob,s,s,w,m,f	
older-brother,son,son,spouse,mother,mother	ob,s,s,w,m,m	
older-brother,son,son,spouse,older-brother	ob,s,s,w,ob	侄孙眷孙男
older-brother,son,son,spouse,younger-sister	ob,s,s,w,ls	侄孙眷孙女
older-brother,son,son,spouse,older-brother,son	ob,s,s,w,ob,s	
older-brother,son,son,spouse,younger-brother,daughter	ob,s,s,w,lb,d	
older-brother,son,son,spouse,older-sister,daughter	ob,s,s,w,os,d	
older-brother,son,son,spouse,father,father,father	ob,s,s,w,f,f,f	
son,spouse,father	s,w,f	亲家公
son,spouse,mother	s,w,m	亲家母
son,spouse,father,father	s,w,f,f	男眷父
son,spouse,father,mother	s,w,f,m	男眷母
son,spouse,mother,father	s,w,m,f	男眷父
son,spouse,mother,mother	s,w,m,m	男眷母
son,spouse,older-brother	s,w,ob	姻侄
son,spouse,younger-sister	s,w,ls	姻侄女
son,spouse,older-brother,son	s,w,ob,s	姻侄孙
son,spouse,younger-brother,daughter	s,w,lb,d	姻侄孙女
son,spouse,older-sister,daughter	s,w,os,d	姻侄外孙女
son,spouse,father,father,father	s,w,f,f,f	男眷祖父
son,son,spouse,father	s,s,w,f	孙眷男
son,son,spouse,mother	s,s,w,m	孙眷女
son,son,spouse,father,father	s,s,w,f,f	
son,son,spouse,father,mother	s,s,w,f,m	
son,son,spouse,mother,father	s,s,w,m,f	
son,son,spouse,mother,mother	s,s,w,m,m	
son,son,spouse,older-brother	s,s,w,ob	孙眷孙男
son,son,spouse,younger-sister	s,s,w,ls	孙眷孙女
son,son,spouse,older-brother,son	s,s,w,ob,s	
