table_row_number	source_sheet_row_numbers	raw_key_set	chain_selector_set	chain_symbol_path	mumuy_primary_term_candidates	mumuy_term_set	our_official_or_fallback_male	our_daily_folk_1st_candidate_male	our_daily_folk_others_male	our_is_exact_match_male	our_official_or_fallback_female	our_daily_folk_1st_candidate_female	our_daily_folk_others_female	our_is_exact_match_female	notes	our_candidate_display	our_judgment
29	524	d,s,s,w	d,s,s,w	D.S.S.SP	外曾孙媳妇	外曾孙媳妇 | 外曾孙妇	自己→第3代晚輩(女系男)→配偶	外曾孫媳 | 外曾孫媳婦|外曾孫婦		True	自己→第3代晚輩(女系男)→配偶	外曾孫媳 | 外曾孫媳婦|外曾孫婦		True		外曾孫媳	可接受簡寫：外曾孫媳
30	522	d,s,w	d,s,w	D.S.SP	外孙媳妇	外孙媳妇 | 外孙妇 | 外孙新妇	自己→第2代晚輩(女系男)→配偶	外孫媳 | 外孫媳婦|外孫新婦|外孫婦		True	自己→第2代晚輩(女系男)→配偶	外孫媳 | 外孫媳婦|外孫新婦|外孫婦		True		外孫媳	可接受簡寫：外孫媳
31	500	d,h	d,h	D.SP	女婿	女婿 | 姑爷 | 姑爷儿 | 女婿子 | 女婿儿 | 儿婿 | 子婿 | 息婿 | 小婿 | 快婿 | 郎婿 | 郎婿子 | 息婿儿 | 囝婿 | 囡婿 | 东床 | 半子 | 甥馆 | 女夫	自己→第1代晚輩(女系女)→配偶	女婿 | 姑爺|姑爺兒|女婿兒|囝婿|女婿子|囡婿|兒婿|子婿|息婿|小婿|快婿|郎婿|東床|半子|甥館|女夫		True	自己→第1代晚輩(女系女)→配偶	女婿 | 姑爺|姑爺兒|女婿兒|囝婿|女婿子|囡婿|兒婿|子婿|息婿|小婿|快婿|郎婿|東床|半子|甥館|女夫		True		女婿	一致
32	501	d,h,f	d,h,f	D.SP.F	亲家公	亲家公	子女的配偶的父母	親家公		True	子女的配偶的父母	親家公		True		親家公	一致
33	502 | 503	d,h,f,f&o | d,h,f,f&l	d,h,f,f	D.SP.F.F	姻伯 | 姻叔	姻伯 | 姻叔	自己→女兒→配偶→夫側父	女兒姻父		True	自己→女兒→配偶→夫側父	女兒姻父		True		女兒姻父	已收編：女兒姻父
34	504	d,h,m	d,h,m	D.SP.M	亲家母	亲家母	子女的配偶的父母	親家母		True	子女的配偶的父母	親家母		True		親家母	一致
35	505	d,h,xb	d,h,xb	D.SP.OB	姻侄	姻侄 | 世侄	子女的配偶的兄弟姐妹	姻姪 | 世姪		True	子女的配偶的兄弟姐妹	姻姪 | 世姪		True		姻姪	一致
36	511	d,h,xb,d	d,h,xb,d	D.SP.OB.D	姻侄孙女	姻侄孙女	自己→女兒→配偶→夫側堂姐	女兒姻堂姐		True	自己→女兒→配偶→夫側堂姐	女兒姻堂姐		True		女兒姻堂姐	已收編：女兒姻堂姐
37	509	d,h,xb,s	d,h,xb,s	D.SP.OB.S	姻侄孙	姻侄孙	自己→女兒→配偶→夫側堂兄	女兒姻堂兄		True	自己→女兒→配偶→夫側堂兄	女兒姻堂兄		True		女兒姻堂兄	已收編：女兒姻堂兄
38	507	d,h,xb,w	d,h,xb,w	D.SP.OB.SP	姻侄媳	姻侄媳	自己→女兒→配偶→夫側姪婦	女兒姻姪婦		True	自己→女兒→配偶→夫側姪婦	女兒姻姪婦		True		女兒姻姪婦	已收編：女兒姻姪婦
39	513	d,h,xs	d,h,xs	D.SP.OS	姻侄女	姻侄女	子女的配偶的兄弟姐妹	姻姪女		True	子女的配偶的兄弟姐妹	姻姪女		True		姻姪女	一致
40	519	d,h,xs,d	d,h,xs,d	D.SP.OS.D	姻侄外孙女	姻侄外孙女	自己→女兒→配偶→夫側姑表姐	女兒姻姑表姐		True	自己→女兒→配偶→夫側姑表姐	女兒姻姑表姐		True		女兒姻姑表姐	已收編：女兒姻姑表姐
41	517	d,h,xs,s	d,h,xs,s	D.SP.OS.S	姻侄外孙	姻侄外孙	自己→女兒→配偶→夫側姑表兄	女兒姻姑表兄		True	自己→女兒→配偶→夫側姑表兄	女兒姻姑表兄		True		女兒姻姑表兄	已收編：女兒姻姑表兄
42	515	d,h,xs,h	d,h,xs,h	D.SP.OS.SP	姻侄婿	姻侄婿	自己→女兒→配偶→夫側姪婿	女兒姻姪婿		True	自己→女兒→配偶→夫側姪婿	女兒姻姪婿		True		女兒姻姪婿	已收編：女兒姻姪婿
43	506	d,h,xb	d,h,xb	D.SP.YB	姻侄	姻侄 | 世侄	子女的配偶的兄弟姐妹	姻姪 | 世姪		True	子女的配偶的兄弟姐妹	姻姪 | 世姪		True		姻姪	一致
44	512	d,h,xb,d	d,h,xb,d	D.SP.YB.D	姻侄孙女	姻侄孙女	自己→女兒→配偶→夫側堂妹	女兒姻堂妹		True	自己→女兒→配偶→夫側堂妹	女兒姻堂妹		True		女兒姻堂妹	已收編：女兒姻堂妹
45	510	d,h,xb,s	d,h,xb,s	D.SP.YB.S	姻侄孙	姻侄孙	自己→女兒→配偶→夫側堂弟	女兒姻堂弟		True	自己→女兒→配偶→夫側堂弟	女兒姻堂弟		True		女兒姻堂弟	已收編：女兒姻堂弟
46	508	d,h,xb,w	d,h,xb,w	D.SP.YB.SP	姻侄媳	姻侄媳	自己→女兒→配偶→夫側姪婦	女兒姻姪婦		True	自己→女兒→配偶→夫側姪婦	女兒姻姪婦		True		女兒姻姪婦	已收編：女兒姻姪婦
47	514	d,h,xs	d,h,xs	D.SP.YS	姻侄女	姻侄女	子女的配偶的兄弟姐妹	姻姪女		True	子女的配偶的兄弟姐妹	姻姪女		True		姻姪女	一致
